Title,Author,ISBN Valid,Publisher,Subjects,i
Escape game au manoir /,"Lescaille, Nathalie",9791036348075,Bayard Jeunesse,,150
Le loup en [slip] se les gèle méchamment /,"Lupano, Wilfrid",9782505070405; 2505070407,Dargaud Bénélux,Bandes dessinées,151
Le loup en [slip] /,"Lupano, Wilfrid",9782505067207; 2505067201,Dargaud Benelux,Loup; Bandes dessinées; Ouvrages pour la jeunesse,152
Ceux qui restent /,"Lupano, Wilfrid",9782505019930; 2505019932,Dargaud Benelux,Bandes dessinées,153
Lucine et Enzo : ou le parcours d'un enfant atypique /,Emma dessinatrice 1981-....,9782380353143; 238035314X,Massot Editions,Trouble déficitaire de l'attention avec ou sans hyperactivité; Livres documentaires,154
Celui qui part  /,"Lupano, Wilfrid",9782505063520; 2505063524,Dargaud Benelux,Bandes dessinées,155
Bonny and Pierrot /,"Lupano, Wilfrid",9782505061632; 2505061637,Dargaud Benelux,Bandes dessinées,156
Mon cerveau a besoin de lunettes : le TDAH expliqué aux enfants /,"Vincent, Annick, 1965-",9782761958851; 2761958853,Les éditions de l'Homme,Trouble déficitaire de l'attention avec ou sans hyperactivité; Troubles de l'attention--Thérapeutique,157
Le loup en [slip] slip hip hip ! /,"Lupano, Wilfrid",9782505071426; 250507142X,Dargaud Bénélux,Loup; Animaux des forêts; Bandes dessinées,158
Le coeur en braille /,"Chamblain, Joris, 1984-",9782205086638; 2205086634,Dargaud,Bandes dessinées; Adolescentes handicapées; Handicap; Cécité,159
Mon cerveau a encore besoin de lunettes : le TDAH chez les adolescents et les adultes : guide pratique pour mieux vivre avec le trouble du déficit de l'attention avec ou sans hyperactivité /,"Vincent, Annick 1965-....",9782761958837; 2761958837,Les Éditions de l'Homme,Troubles de l'attention--Diagnostic; Troubles de l'attention--Thérapeutique; Troubles de l'attention--Aspect génétique; Troubles de l'attention--Chez l'adolescent; Thérapie comportementale pour adolescents; Trouble déficitaire de l'attention avec ou sans hyperactivité; Trouble déficitaire de l'attention chez l'adulte--Ouvrages de vulgarisation.; Trouble déficitaire de l'attention chez l'adolescent--Ouvrages de vulgarisation.; Trouble déficitaire de l'attention--Traitement--Ouvrages de vulgarisation.; Guides pratiques,160
Darwin /,"Clot, Christian",9782344007297; 2344007296; 9782344013618; 234401361X,Glénat,"Darwin, Charles Robert; Bandes dessinées",161
Vanité /,"Freudiger, Reynald",9782889562466; 2889562468,Editions de l'Aire,Roman suisse de langue française,162
Ceci n'est pas un fait divers : roman /,"Besson, Philippe",9782260055372; 2260055370,Julliard,Roman,163
L'attaque des citrouilles /,"Balpe, Anne-Gaëlle",9782092493892; 2092493892,Nathan,,164
Mouches /,"Richoz, Mélanie",9782832110904; 2832110908,Éditions Slatkine,"Alzheimer, Maladie d'",165
Alexandra David-Néel : [les chemins de Lhassa] /,"Perrissin, Christian",9782723498470; 2723498476,Glénat,"David-Néel, Alexandra; Tibet (Chine)--20e siècle--Découverte et exploration; Bandes dessinées",166
Les femmes du bout du monde : roman /,"Da Costa, Mélissa",9782226472724; 222647272X,Albin Michel,Maoris (peuple de Nouvelle-Zélande); Roman français,167
Rouge /,"Robert, Claude",9782828921149; 282892114X,Favre,Roman policier; Roman suisse de langue française,168
Galel /,"Desarzens, Fanny",2832110894; 9782832110898,Éditions Slatkine,Amitié; Roman suisse de langue française; Roman,169
Le vol des Glaneuses /,"Salvadore, Matteo 2001-....",9782883872295; 2883872295,Plaisir de lire,Roman policier suisse de langue française,170
Nani : roman /,"Richoz, Mélanie",9782832112410; 2832112412,Slatkine,Roman suisse de langue française,171
Le chant des innocents : roman /,"Pulixi, Piergiorgio 1982-....",9782351782781; 235178278X,Gallmeister,Roman policier italien--2000-....,172
Le petit guide illustré du TDAH : enfin comprendre comment je fonctionne ! : enfin apprendre à vivre avec ! /,"Gendron, Alice",9782226486523; 2226486526,Albin Michel,Neurodiversité; Trouble déficitaire de l'attention avec ou sans hyperactivité; Guides pratiques,173
James Cook /,"Bollée, Laurent-Frédéric",9782344036846; 2344036849; 9782344039397; 2344039392,Glénat,"Cook, James; Explorateurs; [Bandes dessinées]",174
Buvettes et auberges d'alpages de Suisse romande,,9782970091660; 2970091666,Terre & nature,Buvettes--Suisse romande; Guides touristiques et de visite; Restaurants--Montagnes,175
Le philatéliste : roman /,"Feuz, Nicolas 1971-....",9782889730445; 2889730441,Rosie & Wolfe,Roman policier suisse de langue française,176
Déréglée : journal d'une ménopause /,"Oomen, Francine 1960-....",9782258202351; 2258202353,Les Presses de la Cité,Menopause; Graphic Novel; Ménopause--Récits personnels; Romans graphiques,177
Astra Nova /,"Blumen, Lisa",9782390041023; 2390041027,L'Employé du Moi,Bandes dessinées,178
Demain les oiseaux : intégrale /,"Tezuka, Osamu, 1928-1989",9782413045304; 2413045309,Delcourt,Bandes dessinées,179
L'engrenage du mal /,"Feuz, Nicolas, 1971-",9782889441433; 2889441431,Slatkine & Cie,Roman policier,180
Franklin : les prisonniers de l'Arctique /,"Durand, Michel, auteur de BD",9782344032688; 2344032681,Glénat,Passage du Nord-Ouest (Arctique); Pôle Nord--Découverte et exploration; Bandes dessinées,181
Les larmes du lagon /,"Feuz, Nicolas 1971-....",9782889442164; 2889442160,Slatkine & Cie,Roman suisse; Roman policier,182
Vallée du silicium /,"Damasio, Alain 1969-....",9782021558746; 2021558746,Villa Albertine; Seuil,Modes de vie--Effets des innovations technologiques; Nouvelles de science-fiction francophones; Essai (genre littéraire),183
A la poursuite du dragon /,"Yoakim-Pasquier, Karine",9791021407718,Oskar Editeur,Japon; Arts martiaux; Roman pour la jeunesse,184
Le koala qui disait des gros mots /,"Beigel, Christine",9782013936354; 2013936354,Gautier-Languereau,Mots grossiers; Livres d'images,185
Killiok /,"Brouillard, Anne",9782211322041; 2211322042,L'Ecole des loisirs,Habitations; Livres d'images,186
On a volé mon slip ! /,"Torti, Dominique",9782970146223; 2970146223,Editions Torti,Livres (premières lectures),187
"Berne, nid d'espions : l'affaire Dubois 1955-1957 /","Burnand, Eric",9782889012350; 2889012352,Antipodes,"Relations extérieures--Algérie--Berne (Suisse, ville)--1954-1962; Bandes dessinées",188
"Danemark, Suède",,9782067251069; 2067251066,Michelin,Danemark; Suède; [Guides touristiques et de visite],189
"Danemark, Suède : 2017-2018 /",,9782012799363; 2012799361,Hachette Tourisme,Danemark; Suède; Guides touristiques et de visite,190
Cinq méditations sur la beauté /,"Cheng, François",2226172157; 9782226172150; 2226139605; 9782226139603,Albin Michel,beauté--philosophie chinoise; beauté--* philosophie; Philosophie,191
"Mourir : ce que l'on sait, ce que l'on peut faire, comment s'y préparer /","Borasio, Gian Domenico, 1962-",9782889154074; 2889154076,Genoud Arts graphiques; Presses polytechniques et universitaires romandes,"Terminal Care; Palliative Care; Attitude to Death; Euthanasia; Suicide, Assisted; Accompagnement de la fin de vie; Mort; Fin de vie",192
Le hasard enchanté et les forces de l'espoir /,"Clervoy, Patrick",9782415002961; 2415002968,Odile Jacob,Hasard; Destin et fatalisme; Psychologie; Psychiatrie; Écrivains,193
Pologne,,9782067244993; 206724499X,Michelin,Pologne; [Guides touristiques et de visite],194
Soigner les vivants et parler aux morts /,"Favre, Brigitte",9782828918835; 2828918831,Favre,Peur de la mort; Deuil; Médiumnité,195
Venise,,9782067256187; 2067256181,Michelin,Venise (Italie); Guides touristiques et de visite,196
"Après Jésus : l'invention du christianisme"" /",,9782226479501; 2226479503,Albin Michel,,197
"Spinoza : éthique, de la vérité au bonheur /","Spinoza, Baruch, dit Benedictus de",9782100810567; 2100810561,Dunod,"Spinoza, Baruch.--""Ethique""; Bandes dessinées",198
En thérapie : la psychanalyse en série /,"Ricome, Joffrey",9782324032042; 232403204X,Gründ,Séries télévisées--Critique et interprétation; Psychanalyse; Ouvrages de vulgarisation,199
Les nouvelles routes du soi : [en immersion chez les nouveaux spirituels] /,"Bonomelli, Marc 19-....",9782918682936; 2918682934,Arkhê,Chamanisme; Méditation; Gourous; Réalisation de soi; Sorcières; Spiritualité--2000-....; Conscience de soi,200
Guérir nos âmes blessées : la révolution des thérapies /,"Gourion, David, 1971-",9782501173742; 2501173740,Marabout,Psychothérapie; Psychopathologie,201
King Kong théorie /,"Despentes, Virginie",2246686113; 9782246686118,Bernard Grasset,féminisme--femme--21e s. (début),202
Le marché des dieux : comment naissent les innovations religieuses : du judaïsme au christianisme /,"Desjeux, Dominique",9782130836018; 2130836011,PUF,Judaïsme--Anthropologie; Christianisme--Anthropologie; Christianisme--Relations--Judaïsme; Judaïsme--Relations--Christianisme,203
Une histoire de l'ergot de seigle : du mal des ardents au LSD /,"Vitaux, Jean médecin gastro-entérologue 1951-....",9782130842835; 2130842836,Puf,Ergot de seigle; Histoire,204
"L'arthrose à 40 ans : comment l'éviter, comment la soigner /","Picard-Paix, Odile",2268109380; 9782268109381,Éditions du Rocher,Arthrose--Prévention; Arthrose--Thérapeutique,205
L'homme augmenté : futurs de nos cerveaux /,"Gaillard, Raphaël psychiatre 1976-....",9782246835172; 2246835178,Bernard Grasset,Intelligence artificielle; Homme--Effets des innovations technologiques; Transhumanisme; Lecture--Aspect cognitif; Essai (genre littéraire) français,206
La sagesse interdite : révélations sur les substances à l'origine des traditions spirituelles /,"Schillinger, Stephan poète",9782381351735; 2381351736,Véga,Plantes hallucinogènes--Aspect religieux,207
L'Aventure de vieillir /,"Hennezel, Marie de",9782221267844; 2221267842,Versilio; Robert Laffont,Vieillissement--Psychologie,208
Histoire incorrecte de Rome /,"Traina, Giusto",9782251451749; 2251451749,Les Belles Lettres,Civilisation--Rome--Ouvrages de vulgarisation; Empire romain--Histoire,209
Tout ce qui nous était à venir /,"Sautière, Jane",9782073054920; 2073054927,Verticales,,210
En harmonie : fondements de l'harmonie tonale et modale dans le jazz /,"Dericq, Lilian",9782907891868; 2907891863; 9782907891875; 2907891871,Outre mesure,Harmonie (musique); Jazz; [Méthodes]; [Études et exercices (musique)],211
"Et moi, je vis toujours : roman /","Ormesson, Jean d', 1925-2017",9782072744303; 207274430X,Gallimard,Roman français,212
Dans l'oeil du crocodile : l'humanité comme proie /,"Plumwood, Val",9782381140049; 2381140042,Wildproject,Écologie--Philosophie; Écologie humaine--Philosophie; Écologie animale--Philosophie; Philosophie de la nature; Philosophie de l'environnement; Prédation (biologie); Animalité (philosophie); Relations homme-animal; Intégration du cycle de la vie; Écologie humaine; Alimentation,213
Dette d'oxygène /,"Heijmans, Toine, 1969-",9782714498205; 2714498205,Belfond,Roman,214
Noyade : roman /,"Spierer, Céline",9782350878492; 235087849X,Heloïse d'Ormesson,Roman,215
Les lendemains : roman /,"Da Costa, Mélissa",9782226447104; 2226447105,Albin Michel,Deuil; Roman,216
Toscane /,"Corradi, Marie-Isabelle",9782017193227; 2017193224,Hachette Tourisme,Toscane (Italie); Guides touristiques et de visite,217
Les mondes de Saturne /,,9782410022117; 2410022111,Humensis; Belin,Saturne (planète).; Saturne (planète)--Exploration.,218
Quand sapiens raconte la vie à Néandertal /,"Millás García, Juan José, 1946-",9791040300106,Humensciences/Humensis,Préhistoire; Hominidés; Humanité--Histoire,219
Voyage en misarchie : essai pour tout reconstruire /,"Dockès, Emmanuel",9791097079444,Éditions du Détour,Philosophie politique--2000-....; Philosophie sociale--2000-....,220
"Un purgatoire très discret : la transition ""helvétique"" d'anciens nazis, fascistes et collaborateurs après 1945 /","Dongen, Luc van",9782262026509; 2262026505,Société d'histoire de la Suisse romande; Perrin,national-socialisme--réfugié allemand--Suisse--1945 / 1947; national-socialisme--politique d'asile--Allemagne--Suisse--1945 / 1947; collaboration (histoire)--réfugié politique français--Suisse--1945 / 1947; fascisme--réfugié politique italien--Suisse--1943 / 1946; fascisme--politique d'asile--Italie--Suisse--1943 / 1946,221
Andalousie /,"Campodonico, Nathalie",9782016282045; 2016282045,Hachette Tourisme,Andalousie (Espagne); Guides touristiques et de visite,222
Je pense trop : comment canaliser ce mental envahissant  /,"Petitcollin, Christel",9782813201966; 2813201960,G Trédaniel,Réalisation de soi; Intelligence; Pensée; Discours intérieur,223
"Les origines du plan Marshall : le mythe de ""l'aide"" américaine /","Lacroix-Riz, Annie",9782200634575; 2200634579,Armand Colin,Plan Marshall (1948-1952).; Reconstruction d'après-guerre (2e guerre mondiale)--France.; Reconstruction d'après-guerre (2e guerre mondiale)--Allemagne.; Relations--France--États-Unis--1945-1970.,224
Ukraine entre guerre & paix /,"Baud, Jacques 1955-....",9782315010752; 2315010756,Max Milo,Politique et gouvernement--Ukraine--1991-....; Guerre russo-ukrainienne (2022-....); Relations extérieures--Russie--Ukraine,225
Italie du Nord,,9782067237827; 2067237829,Michelin,Italie; Guides touristiques et de visite,226
A prendre ou à laisser /,"Shriver, Lionel, 1957-",9782714495846; 2714495842,Belfond,Roman américain,227
Au commencement était... : une nouvelle histoire de l'humanité /,"Graeber, David, 1961-",9791020910301,Les Liens qui libèrent,Civilisation--Histoire; Structure sociale; Humanité--Histoire,228
Empires illusoires : les paris perdus de la colonisation /,"Etemad, Bouda",9782363583260; 2363583264,Vendémiaire,Colonisation; Colonies; 17e siècle-20e siècle (1re moitié); France; Grande-Bretagne; Empire britannique; Amérique du nord; Inde; Algérie; Afrique occidentale,229
La Suisse et l'esclavage des Noirs /,"David, Thomas",2940146527; 9782940146529,Société d'histoire de la Suisse romande; Ed Antipodes,Traite des esclaves--Suisse--18e siècle; Traite des esclaves--Suisse--19e siècle; Marchands d'esclaves--Suisse--19e siècle; Marchands d'esclaves--Suisse--18e siècle; esclave - trafic--traite des noirs--Suisse--18e s. / 19e s.; négrier (marchand d'esclaves)--traite des noirs--Suisse--18e s. / 19e s.,230
De Rousseau à Dunant : la colonisation et l'esclavage vus de Genève /,"Etemad, Bouda économiste 1949-....",9782889012299; 2889012298,Antipodes,"Colonialisme (idée politique)--Genève (Suisse, ville)--18e siècle; Colonialisme (idée politique)--Genève (Suisse, ville)--19e siècle; Esclavage--Justification--Genève (Suisse, ville)--18e siècle; Esclavage--Justification--Genève (Suisse, ville)--19e siècle; Genève (Suisse, ville)--18e siècle--Colonisation; Genève (Suisse, ville)--19e siècle--Colonisation",231
L'art du fil : dans la création contemporaine /,"Massé, Marie-Madeleine, 1949-",9782072893230; 2072893232,Alternatives,Art textile; Fil; Ouvrages illustrés,232
De fil en aiguille : la broderie dans l'art contemporain /,"Vannier, Charlotte",9782350174419; 2350174417,Pyramyd,Art; 21e siècle (début); Tableaux en broderie; Broderie; Broderie à la machine; Broderie narrative; Broderie sur papier; Travaux d'aiguilles,233
Les cahiers d'Esther : histoires de mes 11 ans /,"Sattouf, Riad",9782370731142; 2370731141,Allary Editions,Bandes dessinées,234
Les cahiers d'Esther : histoires de mes 12 ans /,"Sattouf, Riad",9782370731531; 2370731532,Allary Editions,Bandes dessinées,235
Cerveau et silence : [les clés de la créativité et de la sérénité] /,"Le Van Quyen, Michel",9782081440067; 2081440067,Flammarion,Cerveau; Silence; Neurosciences; Relaxation,236
La félicité du loup /,"Cognetti, Paolo",9782234092273; 2234092272,Stock,Roman,237
Les sources du moi : la formation de l'identité moderne /,"Taylor, Charles, 1931-",9782020207126; 2020207125,Editions du Seuil,identité (philosophie)--soi--4e s. / 20e s.; bien--homme (être humain)--identité; identité--modernité; identité (philosophie)--morale sociale--4e s. / 20e s.,238
Les marchandises émotionnelles : l'authenticité au temps du capitalisme /,,9791094841914,Premier parallèle,Émotions; Libéralisme économique,239
